video_id,publish_date,dish_name,title
L26_V001,30/09/2024,ĐÙI ẾCH CHIÊN MÈ,ĐÙI ẾCH CHIÊN MÈ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V002,29/09/2024,BÁNH CREPE ÁP CHẢO,BÁNH CREPE ÁP CHẢO  MÓN NGON MỖI NGÀY  VIVU TV
L26_V003,20/09/2024,ỨC GÀ NHỒI PHÔ MAI,ỨC GÀ NHỒI PHÔ MAI MÓN NGON MỖI NGÀY  VIVU TV
L26_V004,19/09/2024,PANNA COTTA KEM MUỐI,PANNA COTTA KEM MUỐI  MÓN NGON MỖI NGÀY  VIVU TV
L26_V005,19/09/2024,SUP MỘC NHĨ THỊT CUA,SUP MỘC NHĨ THỊT CUA  MÓN NGON MỖI NGÀY  VIVU TV
L26_V006,18/09/2024,CÁ CHÉP CHIÊN GIÒN CUỐN BÁNH TRÁNG,CÁ CHÉP CHIÊN GIÒN CUỐN BÁNH TRÁNG  MÓN NGON MỖI NGÀY  VIVU TV
L26_V007,12/09/2024,SALAD CÁ NGỪ RAU THƠM,SALAD CÁ NGỪ RAU THƠM  MÓN NGON MỖI NGÀY  VIVU TV
L26_V008,11/09/2024,MÌ Ý BÒ BẰM,MÌ Ý BÒ BẰM  MÓN NGON MỖI NGÀY  VIVU TV
L26_V009,07/09/2024,BÒ CUỘN XÚC XÍCH CHIÊN,BÒ CUỘN XÚC XÍCH CHIÊN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V010,06/09/2024,VỊT KHO RIỀNG ỚT KHÔ,VỊT KHO RIỀNG ỚT KHÔ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V011,05/09/2024,LẨU KIM CHI PHÔ MAI,LẨU KIM CHI PHÔ MAI  MÓN NGON MỖI NGÀY  VIVU TV
L26_V012,04/09/2024,CỦ NĂNG OM NẤM CHAY,CỦ NĂNG OM NẤM CHAY  MÓN NGON MỖI NGÀY  VIVU TV
L26_V013,15/08/2024,SALAD BƠ BACON,SALAD BƠ BACON  MÓN NGON MỖI NGÀY  VIVU TV
L26_V014,14/08/2024,CANH ỐC MỒNG TƠI,CANH ỐC MỒNG TƠI  MÓN NGON MỖI NGÀY  VIVU TV
L26_V015,03/08/2024,CHẢ GIÒ RONG BIỂN CHAY,CHẢ GIÒ RONG BIỂN CHAY  MÓN NGON MỖI NGÀY  VIVU TV
L26_V016,02/08/2024,SƯỜN KHO CỦ NÉN,SƯỜN KHO CỦ NÉN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V017,01/08/2024,TÔM SÚ KHO LÁ QUẾ,TÔM SÚ KHO LÁ QUẾ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V018,31/07/2024,CANH SƯỜN ĐẬU PHỘNG XÁ BẤU,CANH SƯỜN ĐẬU PHỘNG XÁ BẤU  MÓN NGON MỖI NGÀY  VIVU TV
L26_V019,20/07/2024,CANH TÔM BỒ NGÓT,CANH TÔM BỒ NGÓT  MÓN NGON MỖI NGÀY  VIVU TV
L26_V020,19/07/2024,TIM HEO NƯỚNG NGŨ VỊ,TIM HEO NƯỚNG NGŨ VỊ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V021,13/07/2024,SUP GÀ MỘC NẤM HƯƠNG,SUP GÀ MỘC NẤM HƯƠNG  MÓN NGON MỖI NGÀY  VIVU TV
L26_V022,12/07/2024,NGHÊU KHO NƯỚC TƯƠNG,NGHÊU KHO NƯỚC TƯƠNG  MÓN NGON MỖI NGÀY  VIVU TV
L26_V023,11/07/2024,CÁ HỒI HẠNH NHÂN XỐT CHANH DÂY,CÁ HỒI HẠNH NHÂN XỐT CHANH DÂY  MÓN NGON MỖI NGÀY  VIVU TV
L26_V024,06/07/2024,CHÁO CÁ NẤU BẮP NẾP,CHÁO CÁ NẤU BẮP NẾP  MÓN NGON MỖI NGÀY  VIVU TV
L26_V025,05/07/2024,VIÊN XÚC XÍCH TRỨNG CÚT CHIÊN,VIÊN XÚC XÍCH TRỨNG CÚT CHIÊN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V026,04/07/2024,SALAD RONG NHO XỐT MÈ RANG,SALAD RONG NHO XỐT MÈ RANG  MÓN NGON MỖI NGÀY  VIVU TV
L26_V027,29/06/2024,LẨU SƯỜN KHOAI MÔN,LẨU SƯỜN KHOAI MÔN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V028,28/06/2024,CANH LƯƠN BỒN BỒN,CANH LƯƠN BỒN BỒN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V029,27/06/2024,PHỞ TÁI LĂN,PHỞ TÁI LĂN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V030,13/06/2024,CÁ BASA PHI LÊ CHIÊN TRỨNG,CÁ BASA PHI LÊ CHIÊN TRỨNG  MÓN NGON MỖI NGÀY  VIVU TV
L26_V031,08/06/2024,VỊT NẤU CƠM RƯỢU,VỊT NẤU CƠM RƯỢU  MÓN NGON MỖI NGÀY  VIVU TV
L26_V032,07/06/2024,BÁNH RÁN BURGER BÒ,BÁNH RÁN BURGER BÒ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V033,06/06/2024,MỀ GÀ XÀO CAY,MỀ GÀ XÀO CAY  MÓN NGON MỖI NGÀY  VIVU TV
L26_V034,06/06/2024,THỊT BÊ XÀO LĂN NGON THÍCH MÊ,THỊT BÊ XÀO LĂN NGON THÍCH MÊ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V035,30/05/2024,MỰC XÀO ĐẬU HÀ LAN,MỰC XÀO ĐẬU HÀ LAN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V036,29/05/2024,CÁ HẤP MỒNG TƠI,CÁ HẤP MỒNG TƠI  MÓN NGON MỖI NGÀY  VIVU TV
L26_V037,22/05/2024,DA HEO CHIÊN NƯỚC MẮM GIÒN RỤM THƠM LỪNG,DA HEO CHIÊN NƯỚC MẮM GIÒN RỤM THƠM LỪNG  MÓN NGON MỖI NGÀY  VIVU TV
L26_V038,18/05/2024,TRÀ SỮA MATCHA KHOAI MÔN,TRÀ SỮA MATCHA KHOAI MÔN  MÓN NGON MỖI NGÀY  VIVU TV
L26_V039,17/05/2024,SƯỜN CHAY OM NẤM ĐÙI GÀ,SƯỜN CHAY OM NẤM ĐÙI GÀ  MÓN NGON MỖI NGÀY  VIVU TV
L26_V040,16/05/2024,SALAD BEEF STEAK,SALAD BEEF STEAK  MÓN NGON MỖI NGÀY  VIVU TV
L26_V041,15/05/2024,CƠM TÔM GIÒN KHO QUẸT,CƠM TÔM GIÒN KHO QUẸT  MÓN NGON MỖI NGÀY  VIVU TV
L26_V042,10/05/2024,CÁ BỐNG TRỨNG KHO TIÊU THẤM VỊ ĐẬM ĐÀ,CÁ BỐNG TRỨNG KHO TIÊU THẤM VỊ ĐẬM ĐÀ  MÓN NGON MỖI NGÀY  VIVU TV
