video_id,publish_date,entry_title,is_announcement,length_sec,title
L30_V001,10/10/2024,Chàng trai ‘hồi sinh’ xe đạp tặng người nghèo,False,127,Lan tỏa năng lượng tích cực 2024 Chàng trai ‘hồi sinh’ xe đạp tặng người nghèo
L30_V002,10/10/2024,Nuôi ước mơ gieo con chữ cho người nghèo,False,165,Lan tỏa năng lượng tích cực 2024 Nuôi ước mơ gieo con chữ cho người nghèo
L30_V003,08/10/2024,Truyền cảm hứng với tinh thần tự học,False,324,Lan tỏa năng lượng tích cực 2024 Truyền cảm hứng với tinh thần tự học
L30_V004,08/10/2024,Hãy làm cho mẹ tự hào!,False,240,Lan tỏa năng lượng tích cực 2024 Hãy làm cho mẹ tự hào!
L30_V005,06/10/2024,Lan tỏa phong trào hiến máu tình nguyện,False,66,Lan tỏa năng lượng tích cực 2024 Lan tỏa phong trào hiến máu tình nguyện
L30_V006,06/10/2024,Ban nhạc học sinh lan tỏa niềm vui qua câu hát,False,186,Lan tỏa năng lượng tích cực 2024 Ban nhạc học sinh lan tỏa niềm vui qua câu hát
L30_V007,03/10/2024,Giúp nhau học tốt,False,312,Lan tỏa năng lượng tích cực 2024 Giúp nhau học tốt
L30_V008,02/10/2024,Nỗ lực khôi phục nghệ thuật xưa,False,205,Lan tỏa năng lượng tích cực 2024 Nỗ lực khôi phục nghệ thuật xưa
L30_V009,02/10/2024,Sử dụng mạng xã hội để làm điều có ích,False,422,Lan tỏa năng lượng tích cực 2024 Sử dụng mạng xã hội để làm điều có ích
L30_V010,01/10/2024,‘Gieo chữ’ cho học sinh nghèo,False,166,Lan tỏa năng lượng tích cực 2024 ‘Gieo chữ’ cho học sinh nghèo
L30_V011,29/09/2024,Chúng ta hãy giúp đỡ động vật,False,75,Lan tỏa năng lượng tích cực 2024 Chúng ta hãy giúp đỡ động vật
L30_V012,29/09/2024,Cỏ thủy tinh trên đất thép,False,320,Lan tỏa năng lượng tích cực 2024 Cỏ thủy tinh trên đất thép
L30_V013,28/09/2024,Theo đuổi ước mơ làm giàu từ đam mê,False,81,Lan tỏa năng lượng tích cực 2024 Theo đuổi ước mơ làm giàu từ đam mê
L30_V014,28/09/2024,Tiệm sách miễn phí ‘3 không’ ở Sài Gòn,False,114,Lan tỏa năng lượng tích cực 2024 Tiệm sách miễn phí ‘3 không’ ở Sài Gòn
L30_V015,27/09/2024,Hãy làm phong phú cuộc sống của bạn!,False,272,Lan tỏa năng lượng tích cực 2024 Hãy làm phong phú cuộc sống của bạn!
L30_V016,26/09/2024,Cùng nhau lan tỏa yêu thương,False,138,Lan tỏa năng lượng tích cực 2024 Cùng nhau lan tỏa yêu thương
