video_id,publish_date,district_commune,topic,summary
L29_V001,30/04/2024,"xã Tân Bằng, huyện Thới Bình",CLB phụ nữ khuyết tật - nghề đan lục bình (chị Hồng Phương),"Video giới thiệu câu lạc bộ phụ nữ khuyết tật tại xã Tân Bằng, huyện Thới Bình, tỉnh Cà Mau, do chị Hồng Phương làm chủ nhiệm. Chương trình ghi lại hoạt động sản xuất nghề đan lục bình truyền thống, giúp các chị em vượt qua mặc cảm, hòa nhập cộng đồng và có thu nhập ổn định. Xưởng sản xuất trưng bày nhiều sản phẩm thủ công mỹ nghệ tinh xảo như giỏ mây, khay hộp và nón."
L29_V002,29/04/2024,huyện Năm Căn,Nuôi cua thịt tự nhiên vùng ngập mặn - thương hiệu cua Năm Căn xuất khẩu,"Video thuộc chương trình ""Đôi mắt Mekong"", ghi hình tại huyện Năm Căn, tỉnh Cà Mau, giới thiệu mô hình nuôi cua thịt tự nhiên kết hợp sống cộng sinh trong vùng đầm lầy ngập mặn. Người dân địa phương chia sẻ về quy trình chọn giống, thả lợp bắt cua vào buổi chiều tối, kiểm tra chất lượng cua gạch bằng phương pháp thủ công hoặc dùng đèn soi, và buộc dây cố định. Thương hiệu cua Năm Căn, Cà Mau đạt tiêu chuẩn xuất khẩu sang thị trường lớn như Trung Quốc, góp phần phát triển kinh tế vùng sông nước."
L29_V003,29/04/2024,,Vườn cò Tư Sự (10ha) - bảo tồn chim quý hiếm,"Video giới thiệu về vườn cò Tư Sự rộng 10 hecta tại Cà Mau, nơi bảo tồn hàng chục ngàn con chim và nhiều loài quý hiếm trong sách đỏ Việt Nam. Lão nông Tư Sự cùng gia đình đã dành nhiều tâm huyết gìn giữ, phát triển hệ sinh thái kết hợp kênh nước ngọt, trồng lúa và nuôi tôm để tạo nguồn thức ăn cho đàn cò. Du khách khi đến đây có thể tham quan thiên nhiên, trải nghiệm đi thuyền dọc kênh mương, ngắm đàn cò bay lượn và tìm hiểu công tác bảo tồn động vật hoang dã."
L29_V004,02/05/2024,U Minh Hạ,Nghề gác kèo ong lấy mật rừng tràm,"Video khám phá U Minh Hạ (Cà Mau), ghi lại hành trình người dân đi thuyền xuyên rừng tràm để hướng dẫn nghề gác kèo ong lấy mật truyền thống. Người thợ hướng dẫn cách chuẩn bị cây kèo, thời điểm ong làm tổ, cũng như quy trình thu hoạch mật ong tự nhiên an toàn bằng bó đuốc xơ dừa. Khung cảnh nổi bật với những con kênh rợp bóng cây, hoa tràm nở vàng và hương thơm ngào ngạt giữa nắng gắt miền Tây."
L29_V005,03/05/2024,"thị trấn Sông Đốc, huyện Trần Văn Thời",Lễ hội Nghinh Ông Sông Đốc - di sản văn hóa phi vật thể quốc gia,"Video giới thiệu về Lễ hội Nghinh Ông Sông Đốc tại thị trấn Sông Đốc, huyện Trần Văn Thời, tỉnh Cà Mau. Đây là di sản văn hóa phi vật thể quốc gia được tổ chức từ ngày 14 đến 16 tháng 2 âm lịch hằng năm nhằm tôn vinh cá Ông Nam Hải, cầu cho quốc thái dân an và ngư dân trúng mùa biển. Sự kiện thu hút đông đảo du khách với các nghi thức trang nghiêm tại Lăng Ông Nam Hải, hoạt động rước kiệu, diễu hành trên sông và các trò chơi dân gian đặc sắc của cư dân miền biển Phương Nam."
L29_V006,10/05/2024,huyện Ngọc Hiển,Khởi nghiệp đặc sản ba khía (OCOP) - Trần Thị Sa,"Video giới thiệu về mô hình khởi nghiệp sản xuất và chế biến đặc sản ba khía tại huyện Ngọc Hiển, tỉnh Cà Mau. Chương trình ghi nhận câu chuyện khởi nghiệp thành công của vợ chồng trẻ Trần Thị Sa và người dân địa phương trong việc nâng tầm giá trị sản vật dưới tán rừng ngập mặn. Các sản phẩm OCOP như ba khía muối, ba khía trộn sẵn và gỏi xoài ba khía được phân phối rộng rãi qua các nền tảng thương mại điện tử."
L29_V007,17/05/2024,,Phủ thờ Chủ tịch Hồ Chí Minh tại Cà Mau - cây vú sữa miền Nam,"Video thuộc chương trình ""Đôi mắt Mê Kông"" giới thiệu về Phủ thờ Chủ tịch Hồ Chí Minh tại Cà Mau. Nội dung ghi lại câu chuyện lịch sử về tình cảm của đồng bào miền Nam và nhân dân Cà Mau đối với Bác, cùng sự kiện bà Lê Thị Sảnh gửi tặng cây vú sữa từ miền Nam ra miền Bắc. Chương trình cũng phỏng vấn chú Hai (ông Nguyễn Văn Dậu) về quá trình xây dựng, bảo vệ phủ thờ và hình ảnh cây vú sữa biểu tượng cho lòng kính yêu Chủ tịch Hồ Chí Minh."
L29_V008,24/05/2024,"thị trấn Rạch Gốc, huyện Ngọc Hiển",Làng tôm khô gia truyền - DNTN Chí Tâm,"Video ghi lại hành trình khám phá nghề làm tôm khô gia truyền tại doanh nghiệp tư nhân Chí Tâm ở thị trấn Rạch Gốc, huyện Ngọc Hiển, tỉnh Cà Mau. MC Nguyên Bảo cùng ê-kíp HTV tìm hiểu quy trình đánh bắt tôm tự nhiên bằng ghe trên sông Mê Công, kết hợp công nghệ máy móc hiện đại trong khâu sơ chế, luộc, sấy và đóng gói để tạo ra sản phẩm tôm khô nổi tiếng."
L29_V009,31/05/2024,huyện Trần Văn Thời,"Làng du lịch sinh thái Cà Mau Eco - rừng tràm U Minh Hạ, Làng rừng Vồ Dơi","Video giới thiệu làng du lịch sinh thái Cà Mau Eco tại huyện Trần Văn Thời, tỉnh Cà Mau, do Phương Uyên làm MC trong chương trình ""Đôi mắt Mê Công"". Khán giả được trải nghiệm không gian du lịch xanh đậm chất miền Tây Nam Bộ với hệ sinh thái rừng tràm U Minh Hạ nguyên sơ, đi chèo thuyền trên kênh rạch, thưởng thức đặc sản và khám phá mô hình tái hiện lịch sử ""Làng rừng Vồ Dơi"". Video tôn vinh vẻ đẹp thiên nhiên, giá trị văn hóa truyền thống và tinh thần bảo tồn di sản của người dân địa phương."
L29_V010,07/06/2024,,Cây bồng bồn (thủy hương) - dưa bồn bồn OCOP Minh Duy,"Video giới thiệu về cây bồng bồn (cây nẻo, thủy hương) mọc ở vùng nước ngọt Đồng bằng sông Cửu Long, đặc biệt tại tỉnh Cà Mau. Người dân địa phương chèo thuyền thu hoạch bồng bồn từ sáng sớm để chế biến thành dưa bồn bồn đặc sản, các món ăn dân dã như canh chua, chè bồn bồn, cũng như làm thủ công mỹ nghệ. Tác phẩm dưa bồn bồn Minh Duy đã đạt giải thưởng sản phẩm OCOP của tỉnh Cà Mau."
