video_id,publish_date,subject,topic_num,topic_title,title
L25_V001,15/06/2024,Ngữ văn,10,Nghị luận văn học Chiếc thuyền ngoài xa,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 10  Nghị luận văn học Chiếc thuyền ngoài xa
L25_V002,15/06/2024,Lịch sử,10,Sự phát triển các nước TBCN sau CTTG thứ 2,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 10  Sự phát triển  các nước TBCN sau CTTG thứ 2
L25_V003,14/06/2024,Sinh học,10,Một số lưu ý về phần sinh học lớp 11,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 10  Một số lưu ý về phần sinh học lớp 11
L25_V004,14/06/2024,Hóa học,10,Điện phân,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 10  Điện phân
L25_V005,14/06/2024,Vật lý,10,Hạt nhân nguyên tử,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 10  Hạt nhân nguyên tử
L25_V006,13/06/2024,Anh văn,10,Từ hạn định,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề 10  Từ hạn định
L25_V007,13/06/2024,Địa lý,10,Các kỹ năng trong môn địa lý,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề 10  Các kỹ năng trong môn địa lý
L25_V008,13/06/2024,Toán,10,Xác suất,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 10  Xác suất
L25_V009,12/06/2024,GDCD,8,Pháp luật với sự PT của công dân và đất nước,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề 8  Pháp luật với sự PT của công dân và đất nước
L25_V010,12/06/2024,Ngữ văn,9,Luyện đề nghị luận văn học Tác phẩm Đất nước,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 9  Luyện đề nghị luận văn học Tác phẩm Đất nước
L25_V011,12/06/2024,Lịch sử,9,Các tổ chức quốc tế,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 9  Các tổ chức quốc tế
L25_V012,11/06/2024,Sinh học,9,Một số vấn đề về sinh thái học,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 9  Một số vấn đề về sinh thái học
L25_V013,11/06/2024,Hóa học,9,Hệ thống nhóm chức,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 9  Hệ thống nhóm chức
L25_V014,11/06/2024,Vật lý,9,Lượng tử ánh sáng,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 9  Lượng tử ánh sáng
L25_V015,10/06/2024,Anh văn,9,Thành ngữ,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề 9  Thành ngữ
L25_V016,10/06/2024,Địa lý,9,Các vùng kinh tết Việt Nam - Phần 3,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề 9  Các vùng kinh tết Việt Nam - Phần 3
L25_V017,10/06/2024,Toán,9,"Mặt cầu, mặt phẳng, trong hệ tọa độ OZYZ","BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 9  Mặt cầu, mặt phẳng, trong hệ tọa độ OZYZ"
L25_V018,08/06/2024,Ngữ văn,8,Tác phẩm Người lái đò sông Đà,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 8   Tác phẩm Người lái đò sông Đà
L25_V019,08/06/2024,Lịch sử,8,Phong trào GPDT thế giới sau thế chiến 2,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 8  Phong trào GPDT thế giới sau thế chiến 2
L25_V020,07/06/2024,Sinh học,8,Một số lưu ý về phần tiến hóa,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 8  Một số lưu ý về phần tiến hóa
L25_V021,07/06/2024,Hóa học,8,Polime và vật liệu Polime,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 8  Polime và vật liệu Polime
L25_V022,07/06/2024,Vật lý,8,Sóng ánh sáng,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 8  Sóng ánh sáng
L25_V023,06/06/2024,Anh văn,8,Vị trí của danh từ và tính từ,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề 8  Vị trí của danh từ và tính từ
L25_V024,06/06/2024,Địa lý,8,Các vùng kinh tết Việt Nam - Phần 2,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề 8  Các vùng kinh tết Việt Nam - Phần 2
L25_V025,06/06/2024,Toán,8,Mặt phẳng trong hệ toạ độ OXYZ,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 8  Mặt phẳng trong hệ toạ độ OXYZ
L25_V026,05/06/2024,GDCD,7,Công dân với các quyền Tự do - Dân chủ,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề 7  Công dân với các quyền Tự do - Dân chủ
L25_V027,05/06/2024,Ngữ văn,1,Tác phẩm Vợ chồng A Phủ,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 1  Tác phẩm Vợ chồng A Phủ
L25_V028,05/06/2024,Lịch sử,7,Trật tự thế giới sau thế chiến 2 - năm 2000,BÍ QUYẾT ÔN THI THPT 2024  Môn Lịch sử  Chuyên đề 7  Trật tự thế giới sau thế chiến 2 - năm 2000
L25_V029,04/06/2024,Sinh học,7,Bài tập di truyền quần thể,BÍ QUYẾT ÔN THI THPT 2024  Môn Sinh học  Chuyên đề 7  Bài tập di truyền quần thể
L25_V030,04/06/2024,Hóa học,7,Amin - Amnoaxit - Peptit - Protein,BÍ QUYẾT ÔN THI THPT 2024  Môn Hóa học  Chuyên đề 7  Amin - Amnoaxit - Peptit - Protein
L25_V031,04/06/2024,Vật lý,7,Mạch dao động - Sóng điện từ,BÍ QUYẾT ÔN THI THPT 2024  Môn Vật lý  Chuyên đề 7  Mạch dao động - Sóng điện từ
L25_V032,03/06/2024,Anh văn,7,Câu tường thuật,BÍ QUYẾT ÔN THI THPT 2024  Môn Anh văn  Chuyên đề 7  Câu tường thuật
L25_V033,03/06/2024,Địa lý,7,Các vùng kinh tế Việt Nam - Phần 1,BÍ QUYẾT ÔN THI THPT 2024  Môn Địa lý  Chuyên đề 7  Các vùng kinh tế Việt Nam - Phần 1
L25_V034,02/06/2024,Toán,7,Các bài toán về khối tròn xoay,BÍ QUYẾT ÔN THI THPT 2024  Môn Toán  Chuyên đề 7  Các bài toán về khối tròn xoay
L25_V035,01/06/2024,GDCD,6,Pháp luật và quyền bình đẳng của công dân,BÍ QUYẾT ÔN THI THPT 2024  Môn GDCD  Chuyên đề 6  Pháp luật và quyền bình đẳng của công dân
L25_V036,01/06/2024,Ngữ văn,6,Viết đoạn văn nghị luận 200 chữ,BÍ QUYẾT ÔN THI THPT 2024 Môn Ngữ văn  Chuyên đề 6  Viết đoạn văn nghị luận 200 chữ
