video_id,publish_date,province,topic,summary
L28_V001,02/05/2024,An Giang,"Sông Hậu/Ba Sắc - người Chăm, Bún Bình Thiên, tác động đập thủy điện thượng nguồn","Video ghi lại hành trình khám phá miền Tây Nam Bộ dọc theo dòng sông Hậu và sông Ba Sắc tại An Giang, dưới sự dẫn dắt của nhà văn Trương Chí Hùng. Thước phim khắc họa cảnh sắc thiên nhiên trù phú, đời sống mưu sinh gắn liền với sông nước, Bún Bình Thiên kỳ thú và văn hóa đặc trưng của đồng bào Chăm. Đồng thời, video phản ánh những đổi thay của vùng biên giới, sự suy giảm nguồn lợi thủy sản tự nhiên và tác động từ các đập thủy điện thượng nguồn Me-kông."
L28_V002,02/05/2024,An Giang,"Tân Châu - đầu nguồn sông Tiền/Hậu, nghề nhuộm vải Chăm, tung lò mò","Video tài liệu ghi lại hành trình khám phá đầu nguồn sông Tiền và sông Hậu tại thị xã Tân Châu, tỉnh An Giang. Nội dung nổi bật khung cảnh nông thôn trù phú, đời sống mộc mạc của người dân miền Tây sông nước và nét văn hóa đặc sắc của cộng đồng người Chăm với nghề nhuộm vải thủ công cùng các món ăn truyền thống như tùng lò mò."
L28_V003,02/05/2024,An Giang,"Sông Vàm Nao, Phú Tân - Phật giáo Hòa Hảo, bánh phồng Phú Mỹ","Video giới thiệu về sông Vàm Nao tại huyện Phú Tân, tỉnh An Giang, gắn liền với nhiều truyền thuyết lịch sử và văn hóa miền Tây. Nơi đây nổi tiếng với dòng nước chảy xiết, phong cảnh trữ tình, là cái nôi ra đời của Phật giáo Hòa Hảo (An Hòa Tự) và làng nghề làm bánh phồng Phú Mỹ trăm tuổi. Ngoài ra, video còn khắc họa đời sống dung dị của người dân qua nghệ thuật đờn ca tài tử và những hồi ức tuổi thơ trên trang viết của nhà văn Trương Chí Hùng."
L28_V004,02/05/2024,An Giang,"Cù lao Ông Chưởng & cù lao Giêng, Chợ Mới - Nguyễn Hữu Cảnh 1700, nhà thờ Cù Lao Giêng","Video giới thiệu về cù lao Ông Chưởng và cù lao Giêng tại huyện Chợ Mới, tỉnh An Giang, nơi lưu dấu lịch sử khai hoang mở cõi từ thời Lễ thành hầu Nguyễn Hữu Cảnh năm 1700. Nơi đây nổi bật với đời sống sông nước miền Tây, các di tích văn hóa - tôn giáo lâu đời như nhà thờ Cù Lao Giêng, cùng các làng nghề truyền thống độc đáo như vẽ tranh kính."
L28_V005,02/05/2024,An Giang,"Vàm Nao, Châu Phú - nghề đánh cá, cá hô/cá bông lau","Video tài liệu khám phá sông Vạm Nao tại huyện Châu Phú, tỉnh An Giang, nơi giao thoa của sông Tiền và sông Hậu. Phim ghi lại cuộc sống mưu sinh gắn liền với nghề sông nước, thả lưới đánh bắt cá của người dân miền Tây Nam Bộ. Khán giả sẽ được tìm hiểu về các loài cá đặc sản như cá hô, cá bông lau và cảm nhận sự hào sảng, chân tình của người dân miệt đầu nguồn Cửu Long."
L28_V006,09/05/2024,An Giang,"Châu Đốc - Miếu Bà Chúa Xứ, làng bè cá, mắm Châu Đốc (bà Giáo Khỏe)","Video khám phá vùng đất An Giang và thành phố Châu Đốc, cửa ngõ giao thương quan trọng tại Tây Nam Tổ quốc nơi sông Châu Đốc và sông Hậu gặp nhau. Nội dung giới thiệu các danh thắng nổi tiếng như miếu Bà Chúa Xứ Núi Sam với lễ hội vía Bà, cùng làng bè nuôi cá trên sông. Đặc biệt, video làm nổi bật văn hóa ẩm thực đặc sắc của miền sông nước với thương hiệu mắm Châu Đốc truyền thống của bà Giáo Khỏe và các sản phẩm mắm sấy độc đáo."
L28_V007,16/05/2024,An Giang,"Bến phà Châu Giang, cầu Châu Đốc mới, Thoại Ngọc Hầu, kênh Vĩnh Tế","Video giới thiệu về sông Hậu, bến phà Châu Giang nối Châu Đốc và Tân Châu, cùng cầu Châu Đốc mới xây dựng. Nội dung cũng đặc biệt ca ngợi công lao của danh tướng Thoại Ngọc Hầu trong việc khai phá vùng đất An Giang và lịch sử 200 năm hình thành kênh Vĩnh Tế."
L28_V008,23/05/2024,An Giang,Kênh Vĩnh Tế & kênh T5 (Võ Văn Kiệt) - thủy lợi Tứ giác Long Xuyên,"Video giới thiệu về Kênh Vĩnh Tế và Kênh T5 (Kênh Võ Văn Kiệt) tại vùng Đồng bằng sông Cửu Long, do Thoại Ngọc Hầu chỉ huy khai phá dưới triều Nguyễn. Các con kênh dài hàng chục km này đóng vai trò là trục thủy lợi chiến lược, cung cấp nước ngọt, phù sa, tháo chua rửa mặn cho Tứ giác Long Xuyên và thúc đẩy giao thương. Qua lời kể của người dân địa phương như ông Trần Văn Thuộc, công trình đã biến vùng đất hoang hóa, ngập phèn thành những cánh đồng lúa xanh mướt, mang lại cuộc sống phồn thịnh cho người dân miền Tây."
L28_V009,30/05/2024,An Giang,"Tri Tôn - Bảy Núi, hồ Tà Pạ, chùa Xà Tón, dệt thổ cẩm Văn Giáo, chữ Khmer trên lá buông","Video khám phá huyện Tri Tôn, tỉnh An Giang, nổi bật với cảnh sắc thiên nhiên hùng vĩ của vùng Bảy Núi như cánh đồng Tà Pạ, hồ Tà Pạ và hệ thống kênh rạch chằng chịt. Nơi đây mang đậm bản sắc văn hóa đồng bào Khmer qua các công trình kiến trúc Phật giáo độc đáo như chùa Xà Tón, làng nghề dệt thổ cẩm Văn Giáo lâu đời và di sản tri thức viết chữ trên lá buông được công nhận là di sản văn hóa phi vật thể quốc gia."
L28_V010,06/06/2024,An Giang,"Rừng tràm Trà Sư - tranh vỏ tràm, đường thốt nốt (di sản Khmer Thất Sơn)","Video giới thiệu vẻ đẹp thiên nhiên hoang sơ và đời sống bình dị tại rừng tràm Trà Sư (An Giang), nổi bật với hệ sinh thái phong phú và nghề chèo xuồng phục vụ du lịch. Nơi đây gắn liền với những nghệ nhân tài hoa như họa sĩ Hà Văn Thường sáng tạo tranh từ vỏ tràm và người dân chế biến đường thốt nốt – di sản văn hóa phi vật thể quốc gia của đồng bào Khmer vùng Thất Sơn, Tịnh Biên."
L28_V011,13/06/2024,An Giang,"Thất Sơn, Ba Chúc - Tứ Ân Hiếu Nghĩa, Nhà mồ Ba Chúc, tội ác Pol Pot","Video giới thiệu về vùng Thất Sơn (Bảy Núi) tại huyện Tri Tôn, tỉnh An Giang, nổi bật với cảnh quan thiên nhiên hùng vĩ, giao lưu văn hóa ba dân tộc và các đặc sản độc đáo như trái chúc, trái trâm. Nơi đây cũng gắn liền với đạo Tứ Ân Hiếu Nghĩa và di tích lịch sử đau thương Nhà mồ Ba Chúc cùng Chùa Phi Lai, ghi lại tội ác của quân Pol Pot. Vượt qua quá khứ đau thương, người dân Ba Chúc đang tái sinh mạnh mẽ, xây dựng cuộc sống hòa bình và tương lai tươi đẹp."
