video_id,publish_date,season,episode_num,site,province,district_commune,host,summary
L27_V001,03/10/2024,3,17,Núi Sam / Miếu Bà Chúa Xứ,An Giang,Châu Đốc,Trường,"Video ghi lại hành trình khám phá thành phố Châu Đốc, tỉnh An Giang của người dẫn chương trình Trường. Địa điểm đầu tiên là Miếu Bà Chúa Xứ núi Sam, nơi có bức tượng đá sa thạch xưa nhất Việt Nam và mang đậm văn hóa Nam Bộ. Tiếp theo, Trường trải nghiệm tuyến cáp treo lên đỉnh núi Sam để ngắm toàn cảnh thành phố, kênh Vĩnh Tế và mùa nước nổi giáp biên giới Campuchia. Cuối cùng, anh thưởng thức ẩm thực đặc sản miền Tây tại quán cơm niêu Ông Địa với các món như cá heo kho tộ, lẩu mắm và bông điên điển."
L27_V002,19/09/2024,3,15,Núi Cấm (Thất Sơn) - thu hoạch măng,An Giang,,Nhật Trường,"Trong chương trình ""Việt Nam đi là ghiền"" phát sóng trên HTV7, MC Nhật Trường cùng người dân khám phá vùng Thất Sơn, An Giang vào mùa mưa. Họ trải nghiệm thu hoạch măng mạnh tông (măng đen) tại núi Cấm dưới sự hướng dẫn của chú Năm. Sau đó, tại vựa măng của chị Mai, họ sơ chế và chế biến ba món ăn đặc sản gồm: măng tươi xào tỏi, măng tươi trộn gỏi và canh gà nấu măng chua."
L27_V003,13/09/2024,3,14,"Núi Cấm - bánh xèo, rau rừng",An Giang,,Nhật Trường,"Trong chương trình ""Việt Nam Đi là Giền"", host Nhật Trường khám phá vùng núi Cấm, An Giang để thưởng thức đặc sản bánh xèo giòn rụm ăn kèm với hơn 10 loại rau rừng độc đáo. Anh ghé quán của chị Luyến để tự tay đổ bánh xèo, sau đó theo chân chú Hai vào rừng sâu trải nghiệm công việc hái rau rừng tự nhiên. Video giới thiệu văn hóa ẩm thực và thiên nhiên phong phú tại vùng núi Cấm."
L27_V004,05/09/2024,3,13,Thiên Cấm Sơn (Núi Cấm) - đỉnh Bồ Hông,An Giang,,Nhật Trường & Việt Anh (HDV),"Trong tập 95 chương trình ""Việt Nam đi là ghiền"", MC Nhật Trường cùng hướng dẫn viên Việt Anh trekking khám phá Thiên Cấm Sơn (Núi Cấm) ở An Giang - nóc nhà Đồng bằng sông Cửu Long. Hành trình đi qua cánh đồng thốt nốt, suối Thanh Long (thác Cây Chôm), khu cắm trại Otuksa Camp và thăm vườn trái cây của anh Tư trên đỉnh núi. Tại đây, đoàn trải nghiệm gói bánh tét nhân chuối, thưởng thức bơ vườn và tham gia hoạt động câu cua thú vị. Chuyến đi kết thúc tại đỉnh Bồ Hông ở độ cao 710m, mang đến nhiều kiến thức về văn hóa, thiên nhiên và kỹ năng sinh tồn."
L27_V005,30/08/2024,3,12,Mũi Nai,Kiên Giang,Hà Tiên,,"Chương trình ""Việt Nam Đi là Ghiền"" khám phá khu du lịch Mũi Nai tại thành phố Hà Tiên, tỉnh Kiên Giang. Du khách được trải nghiệm hệ thống xe trượt ống tốc độ 40 km/h lên đỉnh núi Tà Ban cao 128 mét để ngắm toàn cảnh biển và nghe truyền thuyết chú nai thần. Tiếp đến, bãi biển Mũi Nai thu hút với các hoạt động như đi ca nô, lướt ván và thưởng thức hoàng hôn. Cuối hành trình, chương trình giới thiệu các món hải sản đặc trưng tại đây như ốc voi, ốc móng tay và ghẹ tươi ngon."
L27_V006,22/08/2024,3,11,Hà Tiên - bún kèn (quán Năm Của),Kiên Giang,"Hà Tiên, P. Bình San",Như Bình,"Chương trình ""Việt Nam Đi Là Ghiền"" cùng dẫn chương trình Như Bình ghé thăm thành phố Hà Tiên để thưởng thức bún kèn, món đặc sản nổi tiếng tại quán Năm Của trên đường Chi Lăng, phường Bình San. Như Bình tìm hiểu cách chọn cá tươi, sơ chế kỳ công và bí quyết nấu nước sốt đậm đà từ nước cốt dừa và sả từ chủ quán. Cuối tập, chương trình giới thiệu cảnh hoàng hôn thơ mộng tại bãi biển Mũi Nai, vùng biển cực Tây Nam Bộ."
L27_V007,15/08/2024,3,10,"Hà Tiên xưa - Đền họ Mạc, Thạch Động, đầm Đông Hồ",Kiên Giang,Hà Tiên,Như Bình,"Video giới thiệu du lịch Hà Tiên, Kiên Giang (cách Rạch Giá 80km) với các danh thắng và di tích lịch sử nổi tiếng. Người dẫn chương trình Như Bình khám phá Đền thờ họ Mạc và núi Bình San - nơi yên nghỉ của Mạc Cửu cùng các bậc tiền nhân khai mở vùng đất này. Tiếp đến là Thạch động gắn liền với sự tích Thạch Sanh cứu công chúa, chùa Tiên Sơn và đầm Đông Hồ. Cuối cùng, chương trình giới thiệu nhà lưu niệm cố thi sĩ Đông Hồ và đặc sản bún kèn Hà Tiên."
L27_V008,09/08/2024,3,9,"Hòn Chông - Chùa Hải Sơn (Chùa Hang), Động Kim Cương",Kiên Giang,Kiên Lương,Như Bình,"Video chương trình ""Việt Nam đi là ghiền"" (HTV7) giới thiệu danh thắng Hòn Chông tại huyện Kiên Lương, tỉnh Kiên Giang. Khách mời Như Bình khám phá Chùa Hải Sơn (Chùa Hang) cổ kính gần 3 thế kỷ với chánh điện ẩn trong hang núi và hai pho đại tượng Phật Nam Tông. Tiếp đó, video khám phá Động Kim Cương với nhiều thạch nhũ độc đáo và bãi biển Hàng Dương thơ mộng."
L27_V009,01/08/2024,3,8,"Rạch Giá - ẩm thực (bún cá thu, ghẹ Hàm Ninh)",Kiên Giang,"Rạch Giá, P. Vĩnh Bảo",Như Bình,"Chương trình ""Việt Nam Đi Là Ghiền"" dẫn dắt bởi Như Bình khám phá văn hóa và ẩm thực tại thành phố Rạch Giá, tỉnh Kiên Giang. Tại đây, người dẫn chương trình thưởng thức các món đặc sản nổi tiếng như bún cá thu tại quán Hùng Hào (số 60 Phạm Hùng, phường Vĩnh Bảo), ghẹ Hàm Ninh, cá trích cuốn củi dừa và lẩu chua cá nhám nấu sả nghệ. Video cũng ghi lại cảnh mua sắm tại Trung tâm Thương mại Rạch Giá, ghé thăm cảng cá Tắc Cậu và giới thiệu kế hoạch khám phá danh thắng Hòn Chông ở tập tiếp theo."
L27_V010,18/07/2024,3,7,"Rạch Giá - Đình Nguyễn Trung Trực, chùa Láng Cát",Kiên Giang,Rạch Giá,Duy Bình & Ngẫu Sinh,"Chương trình ""Việt Nam Đi Là Ghiền"" cùng MC Duy Bình và anh Ngẫu Sinh khám phá thành phố Rạch Giá, Kiên Giang. Đoàn tham quan Đình thần Nguyễn Trung Trực để tìm hiểu về người anh hùng dân tộc chống Pháp và câu nói bất hủ ""Bao giờ người Tây nhổ hết cỏ nước Nam..."". Tiếp đó, hành trình ghé thăm chùa Láng Cát (chùa Khmer Nam tông 600 năm tuổi) và khu đô thị lấn biển Rạch Giá hiện đại, góp phần đưa thành phố lên đô thị loại II."
